best_epoch,training_loss,validation_roc_score,training time,validation time
1,0.500361624197574,tensor(0.5000),0:01:45,0:00:11
2,0.48153617966300893,tensor(0.5000),0:01:45,0:00:11
3,0.47132202376764704,tensor(0.5007),0:01:45,0:00:11
4,0.4590391741775586,tensor(0.5159),0:01:45,0:00:11
6,0.4399270705957369,tensor(0.5271),0:01:45,0:00:11
7,0.4286832532787281,tensor(0.5475),0:01:45,0:00:11
12,0.39847674764358587,tensor(0.5771),0:01:45,0:00:11
26,0.4397106929440559,tensor(0.5896),0:01:45,0:00:11
